anchor,line,neg_response
Not that I know of.,pulls out a stethoscope Take a deep breath. Been under a lot of stress lately?,No! If there was I wouldnt tell you.
None more than usual.,"You're pRobably just a little anemic, but I'm going to do an EKG just to make sure.","I dont know, I can imagine quite a bit!"
indicating her hospital gown Do I need to take this off?,"No, you can just pull that down in front. she does so. He turns around to see that she is very well-endowed Good. Lord. Are those real?",She doesnt want to sit in her dress and wrinkle it so Im going to lay her down in the back of my neighbours van.
Do they look real?,They look! pretty damn good.,"Sorry, Michael, I dont think theyre real."
They were a present for my husband's 40th . I figured he'd enjoy them more than a sweater.,That's so sweet.,"Well, its a fun sweater, its got a bold geometric print."
Well. That's what breasts look like.,Is a lie a lie if Everybody knows it's a lie?,"Yeah, except your breasts look kinda small."
"Well, if a tree pretends to fall in a forest! House, come on, they're breasts. They're a birthday present, not a philosophical treatise.","Lie number one, she did not do that for her husband, she did that for herself. She thinks if she looks different, she'll be different.","Yeah, cause hello, these are not her boobies, these are her breasts."
"No, she thinks if she looks different, she'll be more attractive, which, I have to say!",Not to her husband. Cosmetic surgery is so that Everyone else will look at us differently. Same reason you're wearing that tie.,"No... OK, she always looks like that... That is not my fault."
"Well exactly, that was going to be my next point.","Last three months, same five ties. Thursday should be that paisley thing.","Yeah, thats basically what I said."
It's a gift from my wife.,No its not. Julie hates green. You bought that yourself. You want to look pretty. At work. singsong Wilson's got a girlfriend!,"Honey, Im a little strapped for cash this year, so for Christmas I was thinking of giving you this."
"It takes TWO department heads to treat shortness of breath? What, do the complications increase exponentially with cup size?",I want an EKG and blood tests including tox screen on Mrs.! Exam Room 1.,It happens! Like a hospital needs more napkins for surgery
You're ordering tests to cover your lechery. Interesting.,Very tricky case. to Wilson You love Everybody. That's your pathology.,That goes directly to the tester.
A small glioma could hide from contrast. We could do a PET scan.,"Yes, that's how a responsible doctor would waste his time in the situation.",And its not just an MRI.
Suddenly tests and radiologists aren't capable of error?,"A glioma not presenting on a contrast MRI would have to be smaller than a grain of sand, which does not a gravely ill person make.","Say what you will about the healthcare system in this country, but when theyre afraid of lawsuits they sure test everything."
Late stage Lyme Disease can cause seizures.,Does the husband care about her?,"No, but I hear lyme disease is open, so."
He hasn't left her bedside.,Now way! it also means she doesn't have Lyme Disease.,"Oh, hes catching up to her!"
What? Love conquers all?,Lyme Disease initially presents with a rash. Mr. Clingy would have noticed.,Love suffers long and is kind.
Did you look at her breasts?,Pff. Men.,"Yeah, look. Breasts and everything."
Could be paraneoplastic.,She have any family history of breast cancer?,"Umm, well, what else could it be?"
Her mother died of it.,"to Foreman The brain, but not the brain. ClEver, huh?",I guess you could say she died of blunt force trauma and blood loss.
A lot has changed since your mom died. Don't worr-- don't give up.,No tumor?,Really? Because your mother is dead.
And how do you treat it if there's no tumor?,"You don't. Those twelve percent, no treatment. They were too busy looking for the tumor, right till they put the Patient in the ground.","Cmon, theres nothin to see, its just a tiny bump, its totally useless."
What choice do we have?,Treat the symptoms. IV Immunoglobulin,We have our decision.
So we're just going to ignore the tumor?,Eventually it'll get bigger. Then it'll be really easy to find. One of you needs to check out where she works.,"Well, I suppose we just try to not look directly at it."
One of you needs to check out where she works. Why?,Cause the husband's not sick.,"She works here too, how is that any different?"
"If it's not paraneoplastic and it is a reaction to some sort of toxin, it's obviously not coming from their home.","Foreman, you do it.","Uh, well he did not get sick somewhere in there and it was immediately found and properly cleaned up!"
Why are you riding me?,It's what I do! has it gotten worse lately?,to Olly Get me to the top!
Yeah. Seems to me.,Really. Well that rules out the race thing. Cause you were just as black last week.,That is not how it seems to me.
We had to sedate her.,You gave sedatives to a Patient who's already sleeping 18 hours a day?,Oh we just put her down for a nap.
It was better than letting her scratch all the skin off her arms.,Where's Wilson?,"Oh my goodness, she had the smoothest skin!"
Onset immediately after IVIG isn't.,There is a simple explanation. Maybe she really has bugs under her skin.,"No, under these circumstances it has to be an injection, and it has to be now."
Maybe she really has bugs under her skin. Infection?,That's what the worsening of symptoms after immunotherapy would suggest.,I believe shes experiencing her menses.
Blood cultures and the timeline rule out most bacteria.,If a Patient throws up on your shoes do you clean up most of it?,"Pneumococcus, streptococcus, staphylococcus and other assorted coccuses."
"The symptoms rule out the rest. Serology rules out viruses, CSS smears rule out parasites.",In the final stage of African Trypanosomiasis almost all the parasites are inside the brain. It's possible they wouldn't show on smears.,When Ive seen two consecutive negative throat cultures spaced 12 hours apart.
But it's not possible for a Patient who's nEver been to Africa to have African Sleeping Sickness.,I'm just saying it fits the symptoms.,"You dont cure it by dying, either."
She could have got it from a transfusion.,Or I'm just saying she could have got it from a transfusion.,Why would a girl see blood and collapse?
Which she nEver had.,glares at her Okay!,I thought she just had one.
"Maybe she ignored it, figured she had a cold.","We rejected Lyme Disease because the couple would have noticed a rash, but a wet hacking cough is just going to slip right by?",Wow. How do you get an entire lecture hall to flip you off at the same time?
"Hey, it's either that or she missed her exit on the turnpike and wound up in Africa.","Two lousy ideas. Unfortunately they're better than all the other ideas. Tularemia. Bizarre. Very nice. That's why I ride you. goes into his own office, turns on the TV","For what its worth, we would have caught her if we were at the right airport."
By safer you mean the one that's slightly less likely to kill her?,Foreman got the gang testing for Tularemia?,"Oh yeah, this is much better."
Foreman got the gang testing for Tularemia? Yep.,"PRobably inconclusive, but worth doing. So what's her name? When do I get to meet her?","No, he got five stitches and a tetanus shot."
There's nobody. Give it up.,"Your lips say no, your shoes say yes.","Dont worry, theres no one out here."
Well they're French. You can't trust a word they say.,"Solid, yet stylish.","Oh, you Americans always butcher the French language."
I'm not gonna date a Patient's daughter.,"Very ethical. Of course, most married men would say they don't date at all.","So, are you really gonna go out with that nurse man?"
"There was no date! House glares I had lunch with one of the nurses. It's her first time in an oncology unit and she's having a tough time, emotionally.",Perfect.,Whoa! What are you doing here? How did your date go?
I wanted to be nice. That's all. I mean it.,You always do. It's part of your charm.,That was nice of you.
"enters Hi boys. Mrs. Campbell's test results. they keep their faces blank Oh, you remember her, the preschool teacher with the heart of silicon.","Nope, doesn't ring a bell.",I can not go to school today said little Peggy Ann McKay.
"They came in yesterday, I figured you guys would have been all over them. I know how concerned you are.","to Wilson She's all upset because we paid more attention to the other girl. You check out her ass, I've got the chest.",Stay sharp! There are two more coming in theyre going to try to cut us off.
"The tests were normal. Course that's just my opinion, you may want to call a couple of guys from maintenance in for a consult.",to Wilson You check her EKG results before she left the other day?,"Well, I dont think theres any reason to check em but I suppose if we wanted to be really certain."
You ordered it.,You're the responsible one.,"Oh, I ordered mine first."
What's wrong? They look normal to me.,to Cuddy Where is she?,Whats the matter with them?
"Waiting downstairs, why?",I was right.,Why are you sitting in the stairwell?
Do I have to get rid of the implants?,"Surprisingly, no. But your EKG shows a slightly decreased heart rate.",Will you be able to milk with those implants?
Is that a pRoblem?,"You told me you hadn't changed your diet or exercise, were you lying?","Yes. What, is there a problem?"
"You told me you hadn't changed your diet or exercise, were you lying? Lying?",Does your husband have high blood pressure?,Well you lost zero pounds.
Does your husband have high blood pressure? My husband?,"Yeah.. see, if you're gonna repeat Everything I say this conversation is gonna take twice as long.","Howard, Im so sorry your blood pressure was off the charts."
"Yes, he was diagnosed six moths ago!",He do a lot of cooking at home?,Yeah. Its a deviated septum. The surgery to correct it is simple. Hes gonna do it next week.
"Not really, other than oatmeal in the morning.",Did you happen to notice a slightly odd taste to the oatmeal lately?,"So, there was talk of oatmeal."
"Wait, are you saying that--",That it looks like your husband stirred in some of his blood pressure medication along with brown sugar.,"Wow, youre just going to make me come out and say it, arent you?"
You think my husbands trying to poison me?!,"No, nothing like that.","You didnt poison me, its just stress."
You should have gotten him the sweater. That's ridiculous.,"Fine. But if you're still concerned about the shortness of breath, I'd start making your own breakfast. opens the door to leave",And you should have just bought a $20 gift like everyone else.
Wait! What should I do?,"Well, if you care about your husband at all, I'd do the responsible thing buy yourself some condoms, go to a bar, find! seems to realize something Huh. leaves","Oh, I went to the library and took out a book on biology to see what whores did."
"Well, if you care about your husband at all, I'd do the responsible thing buy yourself some condoms, go to a bar, find! seems to realize something Huh. leaves",Lab tests inconclusive?,"Thats right. Youre husbands home. So, now the sex can stop."
Lab tests inconclusive? Not surprisingly.,"No. Too bad. Luckily, I have the answer. pause",Yes! Maybe its a false positive. Are you sure you peed on the stick right?
pause To what?,Thanks for asking. The life itself. Sex. Anything that can be transmitted via the blood can be transmitted through sex.,"Hey, if youre pausing for dramatic effect, Id keep it moving."
Sleeping sickness from sex?,It's not without precedent.,Because of sex?
I'm pretty sure it is. Unless you're talking about going to Africa and having sex with the tse tse fly.,A Portuguese Man was diagnosed three years ago with CNS affected sleeping sickness. His only connection with Africa was through a girlfriend who served under the military in Angola.,"Nope. Um... for the guests it is. For you, consider it cowmeat. Strictly taboo."
"Oi, where'd you find that",The Journal de Instituto de Higiene e Medicina Tropical. You don't read Portuguese?,Where the hell dyou find that?
You don't read Portuguese? You do?,I'm pretty sure that's what it said. Either that or it was an ad for sunglasses.,"Like okay III, I havent met any Portuguese people!"
Her husband has nEver been to Africa either.,"Ooh, stymied again. Your logic is bulletproof.",I never went to Thailand.
I think ignoring respiratory symptoms is more likely than cheating.,Because?,"Okay, first of all, I dont play with cheaters, and second of all, you know I had swollen glands!"
They're completely devoted to each other.,Because?,You mean theyre lovers.
They love each other.,Or?,Are they in love?
They're overcompensating for guilt.,to Cameron Find out which it is.,"Yeah, they do seem to feel pretty bad."
You want me to ask a Man whose wife is about to die if he cheated on her?,"No, I want you to be polite and let her die.","Yeah, do you want to break a dying womans heart?"
You don't trust me to do my job?,We all formulate questions based on the answers we want to hear.,I cant believe you dont trust me.
And how exactly do you re-formulate Have you screwed around?,Did you know she's been trying to get pregnant?,"Then, youre redoing it because."
Did you know she's been trying to get pregnant? Yes.,After you got so freaked about the sick babies a while ago I figured that was your thing.,"You guys! Do you realize that any minute now, Phoebe can be pregnant?"
You pulled my medical records?,"You coughed the other day, I was concerned.",And I told you I wanted to see a doctors note.
You were curious. Like an eight-year old boy with a puzzle that's just a little too grown-up for him to figure out. stalks off,"To-MAY-to, to-MAH-to!",You seemed confused.
Absolutely not. I love her,Alright then.,"Nope, shes perfect."
I don't know. looks at the monitor! realizes! She's in a coma.,There's only one way a Tularemia Patient goes into a coma while on IV-Chloramphenicol.,"Well shes, shes the kinda girlJoey was unconscious."
The Patient doesn't have Tularemia.,And then there was one. Patient comes in because she's sleeping too much. It takes ten doctors and a coma to diagnose sleeping sickness.,"Yeah, right. Sick. He didnt have jaundice. He just looks like that."
And then there was none. We still have the pRoblem of explaining how a white Parkck from Jersey who's nEver traveled south of D.C. has African sleeping sickness.,"Well, the obvious explanation?",It didnt have anything to do with race.
"I made it clear. If this guy's lying about sleeping around, he knows he's murdering his wife.",Does seem unlikely! Go away. he enters Elise's room,You talked to the man whose wife youre having an affair with.
Does seem unlikely! Go away. he enters Elise's room,"lifts Elise's arms, drops them","Ahh, whoohoo!!He runs back out the door."
Appears out of nowhere What are you doing?,Checking for lymphadenopathy. And waiting for you.,"Oh my God, whats it doing here?"
Who are you?,I'm Dr. House. Your wife has huMan African Trypanosomiasis. Ed looks puzzled Sleeping sickness.,We need to know who Jimmy Halpert was before he was bitten by the bear.
"You mean its not Tularemia. A virus, tumor or- or cancer.",Nope.,Ok. Thats to broad. Its gotta be something else. How bout your stomach? Yeah? Meredith?
I've nEver had an affair.,I beliEve you.,"Hey, I have never cheated on, been cheated on, or been used to cheat with."
And I trust Elise.,The treatment for this disease is a drug that's!,And you trust Cersei
Why would she lie if she knew it could kill her?,"I don't ask why Patients lie, I just assume they all do.","I dont get it, I already told her a lie, why replace it with a different lie?"
"I don't ask why Patients lie, I just assume they all do. But why?","To protect you, because she didn't think it mattered.",They lie so they dont look petty.
I don't know! pause,I'll start the treatment.,I dont know!
So we're treating her for African sleeping sickness because you don't think it's possible for someone to be faithful in a relationship?,And you do?,Shes sleeping with you?
And you do? Yes.,And you need to tell me that?,"Actually, yes. I do."
"Look I'm not having an affair. I had lunch, with someone I work with, at work. Once.",I beliEve you. What I don't beliEve is that it'll be just once.,"For the record, I have never been involved with anyone at work, in any capacity."
I love my wife.,You certainly love saying it.,Do you love your wife?
"You can be a real jerk sometimes, you know that?",Yeah. And you're the good guy.,You were kind of a jerk to me.
At least I try.,"As long as you're trying to be good, you can do whatEver you want.",I guess I could probably try a little harder.
"And as long as you're not trying, you can say whatEver you want.","So between us, we can do anything. We can rule the world!",You dont have to say it if youre doing it.
"So between us, we can do anything. We can rule the world!","Mixing up some margaritas? Mines a double, Senorita. That's Portuguese, you know.",First we have to conquer the world.
"quietly, with a hint of tears Spanish.",Uh-oh. What's going on?,How would you say it?
I'm re-calibrating the centrifuge.,"Turn around. She does, she looks very sad indeed. It's a very sad thing, an un-calibrated centrifuge. It makes me cry too.","Oh. Very well. Reinitiating calibration sequence. One, two, three, four, five, six, seven, eight, nine, ten eleven. Its a good thing I didnt send that letter."
I'm not crying.,Ok. long pause,Im not crying Im just sweating.
I told the husband he was a jerk.,Why?,What did you tell him?
"hesitates When I was in college, I! I fell in love, and I got married. And!",At that age the chances of a marriage lasting--,I regret not saying yes when you asked me to marry you.
"It lasted six months. Thyroid cancer metastasized to his brain. There was nothing they could do. I was 21, and! I watched my husband die.",I'm sorry...,Temporary deafness in one ear.
You can't be that good a person and well adjusted. Why?,Because you wind up crying over centrifuges.,What are you talking about?
FEver spiked at 104. Echo shows global hyperkinesis.,Blood pressure?,Everything is fine.
Barely 90 over 40.,You give her dopamine?,"Oh, 19! We thought you said 90!"
enters behind them What's happening?,"We would have expected your wife's condition to show some improvement by now, but it hasn't. It's going the other way.","Oh, uh, on the off chance that Bernadette doesnt call back and apologize, how do you feel about Mexican food for dinner tonight?"
She LOVES you.,I need to know who you had the affair with.,"Well, because she loves you and because you love her."
"He's not coming back, is he?","We all make mistakes, and we all pay a price. pause, Elise sniffles I need that name.",Well he left four years ago so were expecting him back any minute now.
The kid was just taking his AP calculus exam when all of a sudden he got nauseous and disoriented.,That's the way calculus presents.,Oh my God.
SEvere bradycardia. Heart rates down to 48 and falling fast,You know the kid?,Im having another heart attack!
You know the kid? No.,Mom real good looking?,No. Whos he?
I didn't notice.,"Then it's a mystery. Not why he's sick, but why you care so much. The gift shop's open, buy him a card.","I was actually the one who noticed, okay, lets just start."
He's not responding to atropine.,Boys love fart jokes.,Hes not dying.
His tox screen was negative. He's still whacked out,You don't care about the kid. You just find his illness intriguing.,"Yeah, hes fine, hes just a little rattled."
"His CAT scan was clean. There's no sign of infection, and it's not diabetes.",And you don't care about him.,I cant believe hes getting a CAT scan.
That's what you wanna hear. Not in the slightest,Me neither. about the notes Means we'll be objective,No. Not at all.
Maybe its shigellosis.,Wouldn't account for the bradycardia.,Its just allergies.
Wouldn't account for the bradycardia. Viral myocarditis?,"Wouldn't account for the whacked out. So, what's the differential for the negative tox screen?","Well, its partly you, partly my transient idiopathic arrhythmia."
Unless someone screwed up the test.,That nEver happens.,Why dont you just do the test?
"1,4-butenediol would give you these symptoms. That's new.",Copy maParkne toner.,All right. What were the symptoms?
"Actually, I nEver did drugs. Leaves","to Cameron Better go with him, in case he gets high. to Chase How much atropine is the kid getting?",The point Im trying to make with all of this people is that I hate drugs.
to Chase How much atropine is the kid getting? 1 milligram,Make it 2. In case he needs his heart later on.,"That was one time, Ross, and they were only like 5 milligrams."
opens the fridge to find another jar This one's open.,I am extremely disappointed.,Theres a can in the fridge.
"Source of botulism, as well as a million other toxins that cause gastroenteritis, cardiac symptoms, and mental confusion.",I'm not sure about gastroenteritis but mental confusion? Bring it on! Eats some of the sauce,"It wasnt poison Jim, it was a laxative."
makes a noise of disbelief,Pulls a face Delicious.,I heard a noise.
Do you have a death wish?,.I notice he didn't try to save me,"No, I imagine if you were going to kill me youd have done it a long time ago."
I figured you were trying to make some kind of subtle point.,I was. Kid just started seizing. Not a symptom of food-born toxins.,You were saying you didnt want to seem stupid.
Also not a symptom of drug use either. Not two hours after admission,So what would make him seize! in addition to all his other delightful symptoms.,"So wait a minute, theres no drugs?"
Pesticide poisoning. Carbonates?,Or organophosphates. Organochlorines.,What do you mean by poisoned?
We should wash him down. The poison could still be on his skin.,Already told the nurses.,"Well, you know you cant actually poison him."
I feel! good.,That's your complaint? You major symptom?,You feel good?
"I notice colors more. And music. I- I'm really hearing music. I'm eighty-two, and I'm supposed to be playing canasta with the other old ladies, but! now when I see a guy with a cute butt! I just cant stop looking at him. Or a sexy beard.",And you figure that enjoying cute butts is a sign of disease?,"Umm, and looking at people differently."
"So I watched it. And it had this actor in it. This kid called Ashton Kutcher. Now, I think about Ashton all the time. All the time.",Aha.,"Justin is the ugly girl in the movie, who takes off her glasses and shes hot!"
You remind me of him. Same bedroom eyes.,People are always mixing us up.,I look more like him than you do!
begins unbuttoning her shirt I suppose you'll need to check my heart?,No! No! that won't be necessary.,I open the chest.
I told you!,But I am going to admit you to the hospital for tests.,"For men in our position, holding grudges can be an encumbrance, dont you think?"
What tests? She's just old!,And you're just insufferable.,"Ookay. So, is she gonna take the test?"
Are there any stronger treatments for the organophosphates?,"Oh, damnit you caught me. Went with the weak stuff, just trying to save a little money.",Are you thinking about adding a desiccant like calcium sulphate?
What's the success rate?,"Excellent, I'm sure. It's the US army, be all you can be. The point is, what are the kid's chances without it?",Whoa! Hey! Whoa!! Hold up! Are you serious?! So like 3% of the time they dont even work?! Huh? They should put that on the box!
Minimal at best. The poison's broken the blood-brain barrier.,I assume minimal at best is your stiff upper lip British way of saying no chance in hell?,"I had a feeling youd be reluctant, which is why Im going to dip into my neurobiological bag of tricks."
I assume minimal at best is your stiff upper lip British way of saying no chance in hell? I'm Australian.,You put the Queen on your money. You're British. - To Foreman Call your professor.,"Im not going to engage in hypotheticals here, Im just trying to be a good neighbour."
Great minds think alike.,By the time they get here we better know which one we need.,You have some ancestors in common.
If we figure out how he got exposed we'll figure out what he got exposed to.,"Well, the mom had homemade tomato sauce. Call me crazy, but I'm thinking maybe! homemade tomatoes?","Whatever it is, we know his life will never be the same."
Front yard vegetable garden.,"Kid's out there spraying, pretty girl walks by! hormones raging! spray can goes off in his face...","Oh, my God, you guys need to do something!"
I'll keep the kid alive! For a while at least. Leaves,I'll have lunch.,OK I gotta go.
"The healer with his magic powers! I could rub his gentle brow for hours! His Manly chest, his stubble jaw, Everything about him leaves me raw-",Psych ward's upstairs.,"Jon Snow. When my husband brought that baby home from the war, I couldnt bear to look at him. I didnt want to see those brown strangers eyes staring up at me. So I prayed to the gods, take him away. Make him die. He got the pox. And I knew I was the worst woman who ever lived. A murderer. Id condemned this poor, innocent child to a horrible death all because I was jealous of his mother. A woman he didnt even know. So I prayed to all seven gods, let the boy live. Let him live and Ill love him. Ill be a mother to him. Ill beg my husband to give him a true name, to call him Stark and be done with it, to make him one of us."
"-with joy. Oh House, your very name! will nEver leave this girl the same. Not bad for an eighty-two year old. She asked me to give that to her true love.","What can I say, Parkcks with no teeth turn me on.",What did your mother say when you told her you were getting married?
That's! fairly disgusting.,And that's ageism.,That is just so disgusting!
You better watch yourself around this babe. Here are the test results.,Impressive. phone rings,"We found your test in the trash, if youre not pregnantIts because I am."
I found the pesticide. It's disulfoton. And it's empty. He used the whole can.,"Okay, I'll get Chase on it.",Thats aerosol spray.
I can't let you do this.,Get a court order. Unless you want to see someone killed by sheer irrationality.,"Ok, you can not do this to me."
Maternal instinct is always irrational. That doesn't mean it's wrong.,Actually! that's the definition.,Its not my decision.
It doesn't mean she's mentally incompetent,She's risking her son's life based on a teenager's claim that he washed something. How mentally incompetent can you get?,She doesnt have to be smart to get fucked in the ass.
That's a brilliant legal argument.,"Listen, have your Harvard law dog whip up some high-grade, legal-sounding psycho babble.",Thats what I told my lawyers.
Her only sign of mental illness is that she disagrees with you. Some would consider that a sign of sanity.,"Not the kid, let's ask him. Oh, I forgot we can't. He's dying.",But at the same time she looks crazy and I do understand her reasoning.
Get the mother to sign off that she's refusing this treatment.,to nurse Goodbye.,What?! I cant believe youre trying to stifle me! When just 14 hours ago we figured out that that is exactly what my mother was trying to do to me!
Who are you?,I work for hospital.,Lord Snow.
It is not the hospital's fault if my son kicks off. Kicks off?,I punched up the language mostly for clarification. I understand my doctors consider my decision to be completely idiotic-,If you fear for the safety of your son.
Why are you doing this?,-but I am convinced that I know more than they do.,Does it have melon on it?
Who are you?,I'm the doctor who's trying to save your son. You're the mom who's letting him die. Clarification. It's a beautiful thing.,"No. No, Toby. Hes not. Yes he is. Hes my nephew."
I'm the doctor who's trying to save your son. You're the mom who's letting him die. Clarification. It's a beautiful thing.,She rethought her position. Start him on the hydrolase.,Because hes my son.
His names Park Ling. He was admitted twelve minutes ago. Identical symptoms as Matt. Chase isn't sure he's gonna make it.,"Matt's next-door neighbor, by any chance?",Im worried about Howard.
"The second kid's heart is almost as weak as Matt's were gonna have to get him wired up, too. And I don't know how long Matt's brain's gonna hold up his hearts not pumping enough oxygen.",How much are you giving him?,"This is adrenaline, were gonna have to inject it into his heart."
How much are you giving him? Eighty percent.,Make it ninety.,How much did you give him?
We're risking damage to his retina.,"What the heck? Do it anyway. He's a calculus student, he pRobably likes having a brain! I'll have Foreman do it.","Hmm. I dont care if this thing is burning out my retinas, it makes me feel special. Now, before we field test, I think we"
I'm the primary.,"Yeah, but the mom wants to get rid of you. And you know me, I'm a people-pleasing kind of guy.",But which one of us should be the party who
She complained? About me?,She went to the principal. Told Cuddy you did drugs in high school. This is gonna go on your perManent record.,Shut up! She said Im a wonderful girl and that youre lucky to have me.
I was trying to get information it was a strategy.,"She also used the word slacker. Want to come in, smoke a little weed, watch some MTV? Enters office. Chase isn't far behind. Cameron is waiting for them","All Im saying is, its one thing being prepared for an attack against like each other whole another story being prepared for an attack, I dont know, like a surprise!"
High school has no idea what could have happened.,You sure Park didn't sneak out of Matt's tomato patch? Maybe they sniffed disulfoton together to get high.,Did you send everyone to the principals office already?
"Same school, different grades, different cliques, different Everything.",They Managed to get poisoned together they must have something in common.,Its not like wewe know each other or anything.
Their classes aren't in the same building. They don't Even eat lunch in the same lunchroom.,How do they get to school?,Yknow your probably not allowed to sleep with any of your students.
"Well, it took you long enough. We've been waiting!",Could you step outside a minute?,Hey! Sorry I kept you waiting so long.
Could you step outside a minute? Why?,Because you irritate me.,I just wanted to get out of my room for a little while.
"He is my son, doctor. He's just a little cranky from not eating.","Fine. Mrs. Adams, have you had any recent sexual activity?","Oh, hes at the doctor, he didnt poop the whole time we were there!"
"Not in bed, dear. To House Why do you ask?",Because you have tested positive for syphilis.,In the bed.
That's impossible. And insulting!,I don't think it's the first time Mom's heard this diagnosis.,No. No. Thats not true! Thats impossible!
"Cupid's disease, that what we used to call it.",When did you get it?,"Ok, this is the most romantic disease Ive ever had."
He was. We're talking about sex. to House I was treated.,"Which suppressed it. In your case, for 60 years. But now it's back, and the spirochetes that cause syphilis are eating away at your brain cells.",It wasnt. His wife set their dogs on me and rendered the question moot.
Oh! That's revolting.,"It's not as revolting as ChlAmydia that's got seepage. And it's the 21st century. We've got flying cars, talking dogs, and penicillin. High-dose regimen for two weeks, you're cured.","I just want you to know that what you witnessed in there, that wasnt for fun."
I don't beliEve it.,"Yeah, well, pinch yourself.",I dont believe it.
I guess for the next two weeks I'd better practice safe sex.,You'll be fine. Just feed that cranky kid.,"Okay, just so you know, Im gonna be ovulating from tomorrow until the sixth, so dont touch yourself in the next 48 hours."
The county's worried about West Nile so they sprayed ethyl parathion right next to the bus route.,Do you have the hydrolase for ethyl parathion?,What? Wait. The state transportation secretary will be there. You could sell your beet salt idea to the highway people.
"Yep. Only one pRoblem. Matt's mom faxed his record to the CDC, and she refuses to let us do anything till she hears back from them.",You're getting good at this God-like doctor thing. Why don't you talk her out of it?,"Yeah, but we havent heard a thing from the adoption agency and it has been weeks!"
not a big fan of mine. Or mine.,Only one Man left in the bullpen and he throws like a girl.,Do you want to look at mine?
I hate sports metaphors.,Give her the high hard one.,A sports metaphor?
"Their hearts are barely pumping. Their lungs are shot, now they're showing liver toxicity.",I guess Matt's mom won't nominate us for any Doctor of the Year awards.,"Ah. Theyre as strong as theyre gonna get. Them thats dying, why dont you cut their throats and be done with it? Hmm? Or leave them if youve not the stomach and Ill sort them myself."
The only thing they have in common is the bus.,"Except their symptoms. Given their sEverity, in fact their cardiac symptoms are getting worse much faster than all their other ones, what does that tell us?","I can see that, cause they both have those big brown eyes and, ya know, the little pouty chin."
Poison was pRobably absorbed through the skin.,They were admitted at 845 and 1100. When were they poisoned?,"Of all the ways Id kill you, poison would be the last."
"In a case that bad, more like 1 1/2 to 4.","So, Matt was poisoned before 715. Before he got on the bus.",Really? Id say 3 to 4.
You think each kid got poisoned in his own House? Two separate exposures?,What do teenage boys do in the morning? Besides the obvious?,"Yes. Yes they were living together. Yes and you know what? You cant expect them to be careful every time. Because, frankly, its just a different sensation."
"Wake up! go to the bathroom, and! the obvious. Then check their zits in the mirror.",Do they use the same acne cream?,Do some research.
"Because acne cream contains lanolin, which could have pesticides, and you're thinking they both bought the same product which-",Could be contaminated. Shaving cream?,"Oh, not another one!"
Park doesn't look like he shaves.,He sweats.,I dont think Jim cares about his hair.
Deodorant could contain lanolin.,These people have pets?,Dandruff shampoo. I have dry scalp.
"Fleas, flea powder.",Ok.,"Smelly cat, smelly cat, what are they feeding you?"
And I'm running low on tomato sauce. Dr. House!,I sent you home.,"I want that McNugget sauce, Morty!"
I came back. I took a cab so my son wouldn't try to chaperone us this time.,"I'm sorry, but the fact that the sexual pleasure center of your cerebral cortex has been over-stimulated by spirochetes is a poor basis for a relationship.","Mr. Scott, who is this other woman, Ryan? Who you refer to her as Just as hot as Jan, but in a different way."
"Look, Dr. House, these feelings that's I've been having. Is it all because of the syphilis?",Yes.,from the syphilis.
"Then here's the prescription you gave me. House looks puzzled Well, it's not like I'm going to infect anyone.","No, but it'll kill you.","Okay, okay, heres the deal."
"Well, you gotta go sometime. And I really don't want to play canasta for the rest of my life. I! I like feeling sexy again. And making a fool out of myself with handsome young doctors.",Do you think I would have given you this if it would stop you from flirting with me?,Whoawhoawhoawhoa! I dont want to go. Im having fun.
But if I'm cured?,The spirochetes will die off.,And then youll be saved.
Oh! Oh! thank you! Leans to kiss him,Georgia!,"Ohh, give him a kiss for me!"
"When I stop being contagious, I'll come back for a checkup. Mega-wink",Yeah!,Exactly how contagious is this thing you have?
Matt's ALTs are up to 800. If they get any higher we can toss his liver.,cell phone goes off Yeah?,"Well, just the fact that you got him up here still says a lot."
Or any other kind of deodorant.,What about shampoo?,"Its kinda smelly, but that might be a plus!"
"No to shampoo bar soap, dish soap, dish detergent!",What about laundry detergent? Maybe they both washed their clothes this morning?,Hey. Soaps? Shampoos? Are you really taking all this stuff?
"If we cure Matt, he can use his close brush with death on his college essays. Admission guys love that stuff.","That's how you got in, right? Jail House diaries?","Let me tell you something, Oscar."
-environmentally safe formula. It's the same!,Bring in the detergent. hangs up,It tastes the same.
So the detergent was contaminated with pesticides?,Soaked into their clothes and got absorbed into their skin!,Of course. You think the EPA would ever allow that much DEET?
"He washed them this morning, right? What?",Nice respectful Asian kid does the laundry.,Think he washed his hands?
My wife said he didn't.,"Then I'm guessing he washed them last night, without you knowing.","Yes, as a matter of fact he did, so I cant let you go."
NEver washed. Now what?,What about Matt's clothes? They new?,You dont wanna wash that.
"They're ruddy old jeans, I think. They've been bagged up and taken downstairs.",Davis.,Theyre my pants!
Yep they're Matt's. And they're old,"And yet the label isn't faded in the slightest. Fake old. 100 dollars for the homeless look. What, kids aren't pretentious in England?","So umm, now do you have any of Matt Lauers clothes here?"
"Park's are a different brand, how could they both be contaminated?",That is a question for the ages. In the meantime get these tests in.,"Well, cause I got it at the dirty store."
I nEver bother to wash new clothes before I wear them.,"Right, your wife does. She wants you to feel nice and comfortable.","Well, not myself, but I know other people that have."
